"","bids_name","aor","aqi","dummy_trs","dvars_nstd","dvars_std","dvars_vstd","efc","fber","fd_mean","fd_num","fd_perc","fwhm_avg","fwhm_x","fwhm_y","fwhm_z","gcor","gsr_x","gsr_y","size_t","size_x","size_y","size_z","snr","spacing_tr","spacing_x","spacing_y","spacing_z","summary_bg_k","summary_bg_mad","summary_bg_mean","summary_bg_median","summary_bg_n","summary_bg_p05","summary_bg_p95","summary_bg_stdv","summary_fg_k","summary_fg_mad","summary_fg_mean","summary_fg_median","summary_fg_n","summary_fg_p05","summary_fg_p95","summary_fg_stdv","tsnr","subj","year","site","parent_site","scanner_type"
"11","sub-03_ses-Y1CMH_task-rest_run-01_bold",0.00327841346153846,0.00240410846153846,0,18.3125260071981,1.24216134246377,1.02472890956522,0.50474695721931,32516.3828125,0.160463029435012,55,26.4423076923077,2.9025821,2.8509888,3.41008,2.4466775,0.0293815,0.000739836425054818,0.0223031211644411,208,64,64,40,4.80416573398314,2,3.125,3.125,4,41.716681637419,34.1283645629883,137.794525146484,23.1826934814453,88635,0,718.326965332032,358.006683349609,0.974045431206148,806.67822265625,4159.7822265625,4251.4521484375,38525,2531.56645507812,5427.96640625,884.939697265625,90.2900619506836,"sub-03","ses-Y1","CMH","CM","GE"
"12","sub-03_ses-Y1MRC_task-rest_run-01_bold",0.00186336538461538,0.00452635908653846,0,36.828964445314,1.13037644120773,1.01585384270531,0.504504572237421,1620.80749511719,0.182330658664951,59,28.3653846153846,2.85210763333333,2.8001344,3.376256,2.3799325,0.0301948,0.0181709937751293,0.0741016715764999,208,64,64,40,2.14416784753323,2.01999998092651,3.125,3.125,4,134.480865335382,7.86207056045532,28.3609962463379,11.8317308425903,88641,5.48076963424683,93.9807739257812,70.4809265136719,3.61903384231206,195.176025390625,583.2265625,535.379821777344,39557,285.913482666016,1072.5509765625,249.688034057617,42.8877639770508,"sub-03","ses-Y1","MRC","MR","GE"
"13","sub-03_ses-Y1ZHH_task-rest_run-01_bold",0.00174961538461538,0.00369931706730769,0,24.8977125508696,1.20037459246377,0.988680361400966,0.493105193980414,29486.13671875,0.142880002920675,41,19.7115384615385,2.64782763333333,2.794208,2.9168224,2.2324525,0.034652,-0.011744337156415,0.0362491235136986,208,64,64,40,3.35369897230276,2,3.125,3.125,4,74.3584821436268,17.2495079040527,79.5264358520508,11.673077583313,89490,0,403.901699829102,220.255859375,0.818880401940683,503.675048828125,2034.29931640625,2034.86547851562,37614,961.185131835937,3050.6712890625,606.744506835938,63.0694427490234,"sub-03","ses-Y1","ZHH","ZH","GE"
"14","sub-03_ses-Y2CMH_task-rest_run-01_bold",0.00143206730769231,0.00255125807692308,0,14.7805888964251,1.08184944285024,0.960613266183575,0.511539312822642,26032.396484375,0.110830887983068,8,3.84615384615385,2.94894193333333,2.9250368,3.456384,2.465405,0.0249151,-0.00534036010503769,0.0202729683369398,208,64,64,40,4.61457530148834,2,3.125,3.125,4,36.5931135925322,36.0101280212402,173.928146362305,27.5192317962646,89117,1.22115385532379,941.390417480468,425.873138427734,1.12532373118871,882.027465820312,4410.966796875,4495.51953125,38785,2671.13764648438,5834.6185546875,974.1875,87.5331268310547,"sub-03","ses-Y2","CMH","CM","GE"
"15","sub-03_ses-Y2MRC_task-rest_run-01_bold",0.00178764423076923,0.00201606497115385,0,25.4820802204348,1.20366384608696,1.00102674502415,0.521913230946666,980.864318847656,0.138116116397405,28,13.4615384615385,2.9391518,2.9702784,3.369312,2.477865,0.0198564,0.000222500966629013,0.0802960023283958,208,64,64,37,1.80362954743684,2,3.125,3.125,4,97.4434551095856,7.71238327026367,40.4636039733887,17.2644233703613,76407,11.052885055542,133.295677185059,91.8950805664062,3.85647219731303,244.586563110352,689.235473632812,610.653869628906,39953,317.670208740234,1381.58947753906,338.565216064453,73.4400634765625,"sub-03","ses-Y2","MRC","MR","GE"
"16","sub-03_ses-Y2ZHH_task-rest_run-01_bold",0.00240875,0.0023565175,0,19.6810272188889,1.23260711371981,1.01568806246377,0.48666192298623,71871.0078125,0.138697377554599,29,13.9423076923077,2.58667946358899,2.7532384,2.7109536,2.29584639076696,0.0262144,-0.00709016481414437,0.00911376718431711,208,64,64,40,3.37008948901389,2,3.125,3.125,3.99969267845154,56.4901044603672,18.3400764465332,109.870025634766,12.3990392684937,90012,0,583.207220458984,304.467315673828,0.948599904956957,821.664611816406,3447.61328125,3440.08422851562,37354,1687.82292480469,5174.0859375,1020.75573730469,80.3057861328125,"sub-03","ses-Y2","ZHH","ZH","GE"
"17","sub-03_ses-Y3CMH_task-rest_run-01_bold",0.00297442307692308,0.00196698603365385,0,15.2533425179227,1.20222684690821,1.03052091637681,0.500289133196973,32343.291015625,0.103763291388351,10,4.80769230769231,2.89942611105548,2.888256,3.36352,2.44650233316644,0.0279916,0.0029926672577858,0.0197819396853447,208,64,64,40,4.61834948167793,2,3.125,3.125,3.99999618530273,36.6062284906217,30.4432430267334,134.86767578125,23.1923084259033,89451,0.966346204280853,663.113006591797,341.719573974609,0.889588522484342,833.5576171875,4161.083984375,4221.16845703125,38111,2518.99768066406,5528.71411132812,913.987365722656,97.4405670166016,"sub-03","ses-Y3","CMH","CM","GE"
"18","sub-03_ses-Y3MRP_task-rest_run-01_bold",0.000884615384615385,0.00212033451923077,0,26.360437052029,1.14458470454106,0.980929648115942,0.557333400149183,443.014282226562,0.185260381459531,84,40.3846153846154,2.57390436666667,2.5542816,2.822864,2.3445675,0.0152021,0.00480315554887056,0.0814866796135902,208,64,64,37,2.03944498628764,2,3.125,3.125,4,60.5001411134819,7.66961526870728,66.2281188964844,31.8846168518066,76636,24.8942317962646,233.054092407227,119.65941619873,1.14629998154857,326.094116210938,814.457336425781,747.134643554688,40205,339.601928710938,1515.52412109375,366.337585449219,72.3307800292969,"sub-03","ses-Y3","MRP","MR","prisma"
"19","sub-03_ses-Y3ZHP_task-rest_run-01_bold",0.00212403846153846,0.00427252360576923,0,27.8124311509662,1.23120368502415,1.00303618937198,0.563644635459754,445.397735595703,0.164754515110773,43,20.6730769230769,2.54390976666667,2.5199584,2.8446784,2.2670925,0.0307181,-0.0111489184200764,0.0628607422113419,208,64,64,37,2.10399298908146,2,3.125,3.125,4,53.4773983290512,6.92118787765503,63.757926940918,30.9134635925293,76423,25.466827583313,221.642318725586,106.931312561035,1.10880173322162,309.364929199219,789.279724121094,726.351013183594,40598,337.748796081543,1449.13874511719,345.220764160156,69.2976226806641,"sub-03","ses-Y3","ZHP","ZH","prisma"
"20","sub-03_ses-Y4CMP_task-rest_run-01_bold",0.00295836538461538,0.00384395096153846,0,29.5255694455073,1.15932445048309,1.01660721347826,0.555355375747495,360.816101074219,0.191667754945364,83,39.9038461538462,2.62336013333333,2.638064,2.9650464,2.26697,0.00868156,0.00453418167307973,0.0669009312987328,208,64,64,37,1.87020153674612,2,3.125,3.125,4,71.8469061470961,10.2071485519409,70.6578979492188,36.9711570739746,75259,27.052885055542,229.376449584958,122.143981933594,1.38282993598449,378.099273681641,873.081481933594,790.550537109375,40974,337.735345458984,1692.24260253906,422.703582763672,54.1364822387695,"sub-03","ses-Y4","CMP","CM","prisma"
