"","bids_name","scanner","parent_site","scanner_type","subj","year","cnr","snr_csf","snr_gm","snr_total","snr_wm","snrd_csf","snrd_gm","snrd_total","snrd_wm"
"11","sub-02_ses-Y3CMH_run-1_T1w","CMH","CM","GE","sub-02","ses-Y3",3.02555200138614,2.07626370173524,9.52981867124996,9.59235675897635,17.1709879039438,10.6822132855207,26.6647687539828,24.9935196920062,37.6335770365152
"12","sub-02_ses-Y3MRP_run-1_T1w","MRP","MR","prisma","sub-02","ses-Y3",2.31569244737101,2.59864209353338,5.08945647868053,4.31862907749795,5.26778866027994,10.9130049349265,17.3816007686232,21.0027675954197,34.7136970827094
"13","sub-02_ses-Y3MRP_run-2_T1w","MRP","MR","prisma","sub-02","ses-Y3",2.30170776670954,2.77625888664852,5.13449091661157,4.38671877417087,5.24940651925252,10.7667703343948,17.3231188739853,20.8526921124701,34.4681871290303
"14","sub-02_ses-Y3MRP_run-3_T1w","MRP","MR","prisma","sub-02","ses-Y3",2.30834647576603,2.84325574189749,4.98156497575724,4.3657076633587,5.27230227242138,11.0001949925803,17.3805076759599,21.0380707191145,34.7335094888032
"15","sub-02_ses-Y3ZHP_run-1_T1w","ZHP","ZH","prisma","sub-02","ses-Y3",2.07617708777561,2.36265776217119,5.20821264801308,4.01805981483616,4.48330903432421,9.43435588708631,15.1520759442584,18.4090669030236,30.640768877726
"16","sub-02_ses-Y4CMP_run-1_T1w","CMP","CM","prisma","sub-02","ses-Y4",2.10475910492227,1.26215869092462,4.51763710990666,3.4134199725911,4.46046411694202,15.9504960657309,24.5940907435132,30.6821759903863,51.5019411619148
"17","sub-03_ses-Y1CMH_run-1_T1w","CMH","CM","GE","sub-03","ses-Y1",3.07454080894067,2.63708977277901,9.71807096290921,10.2989976990124,18.541832361349,12.2296436520826,30.9189245881723,28.7996291271202,43.2503191411057
"18","sub-03_ses-Y1MRC_run-1_T1w","MRC","MR","GE","sub-03","ses-Y1",2.40086053621627,3.80442931971759,7.76840581702983,8.20794635038249,13.0510039144001,11.8415669252789,26.8164552479311,25.5079760161805,37.8659058753314
"19","sub-03_ses-Y1MRC_run-2_T1w","MRC","MR","GE","sub-03","ses-Y1",2.3896698592411,3.74124462439673,7.50775029560451,8.01939980328737,12.8092044898609,11.8516077148425,26.83222972275,25.6167146487041,38.1663065085197
"20","sub-03_ses-Y1MRC_run-3_T1w","MRC","MR","GE","sub-03","ses-Y1",2.42248482098343,3.86740325734332,7.36916860122296,7.91242770512129,12.5007112567976,11.4045744673833,25.7291531820222,24.7226473975879,37.0342145433584
